"","hpi_category","status","experiment","culturepoint","total","donor","hpi","powerful","plaus","ultraplaus","low","medpower","medlogpower","medfreq","medofplaus","medofultraplaus","powerbeatin"
"258","72","near","ruxcilia",5,1114239,3,72,0.2652626590884,0.75672903210173,0.730738198896287,0.0228667278743609,6.95298658683896e-05,-4.15782860842072,7,6.33333333333333,6.33333333333333,0.261469038509691
"259","72","near","ruxcilia",6,1358191,3,72,0.190624146382946,0.712715663702675,0.67441250899174,0.0346608098566402,3.83715305360965e-05,-4.4159908776293,7.33333333333333,6.33333333333333,6.66666666666667,0.188025837308597
"260","96","distant","longcilia2",2,393216,3,96,0.964118957519531,0.970413208007812,0.870552062988281,0.0987930297851562,0.00157676130766045,-2.80223404580449,8,8,8,0.941930135091146
"261","96","distant","longcilia2",3,2162688,5,96,0.850957234700521,0.935699462890625,0.787243467388731,0.147057273171165,0.0011790499556809,-2.92846779370318,7.66666666666667,7.33333333333333,7.66666666666667,0.833328247070312
"262","96","distant","longcilia2",6,2424832,5,96,0.883358929608319,0.943322671426309,0.770904953415329,0.171363624366554,0.00178062811028205,-2.74942677481925,10.3333333333333,10.3333333333333,10.6666666666667,0.857223923141892
"263","96","distant","longcilia2",7,1310720,7,96,0.878557586669922,0.954734039306641,0.682173919677734,0.271417999267578,0.0014172955998219,-2.84853956119731,9.33333333333333,9,10,0.863121795654297
"264","96","distant","longcilia2",10,851968,7,96,0.721683208759014,0.933886014498197,0.845745380108173,0.0862473707932692,0.0005184461770113,-3.28529632363589,6.33333333333333,6,6.33333333333333,0.718240591195913
"265","96","distant","longcilias",3,458752,4,96,0.12638419015067,0.271373203822545,0.236696515764509,0.0291922433035714,8.86158377397805e-05,-4.05248865251144,30,7.33333333333333,7.66666666666667,0.037353515625
"266","96","distant","longcilias",4,2424832,4,96,0.443082242398649,0.670548722550676,0.593342549092061,0.0735824172561233,0.00017387444677295,-3.75976423881925,8.33333333333333,6.66666666666667,7,0.397528158651816
"267","96","distant","longcilias",5,2031616,7,96,0.745475522933468,0.856314874464466,0.658404934790827,0.195356799710181,0.0005577678675763,-3.25354650860077,11.6666666666667,11.3333333333333,11.6666666666667,0.701969762002268
"268","96","distant","longcilias",6,2293760,7,96,0.823018537248884,0.846036202566964,0.79189453125,0.0531537737165179,0.00125725142424925,-2.9005778637261,11.6666666666667,11.3333333333333,11.6666666666667,0.770742361886161
"269","96","distant","longcilias",11,1900544,8,96,0.468045464877425,0.6500217832368,0.530494426858836,0.116728157832705,0.0001758079451974,-3.75496150197471,8.33333333333333,6.66666666666667,7.33333333333333,0.438068258351293
"270","96","distant","longcilias",12,196608,8,96,0.0565846761067708,0.285614013671875,0.260116577148438,0.0216420491536458,7.95601190475281e-05,-4.09930457571044,30.3333333333333,7.33333333333333,8,0.0232950846354167
"271","96","infected","longcilia2",2,122627,3,96,0.448433053079664,0.61802050119468,0.441892894713236,0.172025736583297,8.25884417281486e-05,-4.08308072804188,9,7,8,0.438451564500477
"272","96","infected","longcilia2",3,3239,5,96,0.0114232787897499,0.274776165483174,0.25100339610991,0.0200679221982093,7.81366397859529e-05,-4.10714526925401,30,8,8,0.00216116085211485
"273","96","infected","longcilia2",7,130459,7,96,0.582021937926858,0.7641097969477,0.665550096198806,0.0965514069554419,0.0004771306994371,-3.32136263926333,10.6666666666667,10,10.3333333333333,0.559447795859235
"274","96","infected","longcilia2",10,224059,7,96,0.3226650123405,0.691652645062238,0.555969632998451,0.131862589764303,4.25413418270182e-05,-4.37118881582306,9,7.33333333333333,8,0.318715159846291
"275","96","infected","longcilias",3,378809,4,96,0.308825819872284,0.534807779118236,0.415877130691193,0.114413860283151,0.0001036352550727,-3.98449247935002,11.6666666666667,6.33333333333333,7.33333333333333,0.286075568426305
"276","96","infected","longcilias",4,110368,4,96,0.0794251957089011,0.263844592635547,0.224005146419252,0.0363601768628588,7.23730772733688e-05,-4.14042296096475,30.6666666666667,7.66666666666667,8.33333333333333,0.0242824006958539
"277","96","infected","longcilias",5,8355,7,96,0.389587073608618,0.581089168162777,0.520885697187313,0.0527827648114901,7.18866504030302e-05,-4.14335175210096,12.3333333333333,11,11,0.363973668461999
"278","96","infected","longcilias",6,84,7,96,0.19047619047619,0.178571428571429,0.166666666666667,0.0119047619047619,9.07922003534622e-05,-4.04195376326906,30.5,11.3333333333333,11.3333333333333,0.0833333333333333
"279","96","infected","longcilias",11,57179,8,96,0.102782490075028,0.271690655660295,0.231518564507949,0.033316427359695,8.52358352858573e-05,-4.06937777853266,29.3333333333333,6.66666666666667,7.66666666666667,0.0404344252260445
"280","96","infected","longcilias",12,435416,8,96,0.109568780201003,0.344454498686314,0.309809469564738,0.0300746871956933,9.29512098082342e-05,-4.03174495328771,26,8,8.33333333333333,0.0773306447167766
"281","96","mock","longcilia2",1,2162688,3,96,0.961207996715199,0.969789909593987,0.849517359878078,0.119357947147254,0.0020260300952941,-2.69335410777988,8,8,8,0.943925799745502
"282","96","mock","longcilia2",4,2293760,5,96,0.959744262695313,0.972823224748884,0.826395961216518,0.145771135602679,0.0019023097120225,-2.72071877484741,7.66666666666667,7.66666666666667,8,0.942152186802455
"283","96","mock","longcilia2",5,2359296,5,96,0.86629401312934,0.942693922254774,0.806144714355469,0.135932074652778,0.00167831225553525,-2.7751272340677,10.3333333333333,10,10.3333333333333,0.840653313530816
"284","96","mock","longcilia2",8,2228224,7,96,0.944834092084099,0.955003626206342,0.72034813376034,0.231858197380515,0.0024698500055819,-2.60732942071851,10.6666666666667,10.6666666666667,11,0.914263108197381
"285","96","mock","longcilia2",9,2293760,7,96,0.717483520507812,0.936359514508929,0.878290666852679,0.0566615513392857,0.0004212989879306,-3.37540958415986,6,5.66666666666667,6,0.705425589425223
